frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 24, 5.82889e-10, 76, 58, 14, 4
2, 2500.0, NC2-2.out,1, 1, 21, 1.96516e-10, 101, 74, 22, 5
3, 5000.0, NC3-3.out,1, 1, 16, 2.06479e-10, 105, 71, 16, 18
