frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 30, 8.41051e-11, 87, 60, 19, 8
2, 2500.0, NC2-2.out,1, 1, 20, 9.98963e-10, 93, 71, 17, 5
3, 5000.0, NC3-3.out,1, 1, 14, 5.35332e-10, 99, 63, 15, 21
