frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 29, 8.53718e-10, 86, 66, 15, 5
2, 2500.0, NC2-2.out,1, 1, 21, 3.78934e-10, 94, 67, 21, 6
3, 5000.0, NC3-3.out,1, 1, 17, 1.87984e-10, 92, 58, 18, 16
