frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 39, 7.56637e-10, 229, 175, 49, 5
2, 2500.0, NC2-2.out,1, 1, 95, 4.05684e-10, 264, 176, 81, 7
3, 5000.0, NC3-3.out,1, 1, 51, 1.25545e-10, 236, 150, 67, 19
