frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 42, 2.27082e-10, 244, 177, 60, 7
2, 2500.0, NC2-2.out,1, 1, 111, 4.96912e-10, 267, 176, 85, 6
3, 5000.0, NC3-3.out,1, 1, 60, 4.85343e-10, 247, 168, 60, 19
