frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 36, 4.41765e-10, 232, 173, 53, 6
2, 2500.0, NC2-2.out,1, 1, 95, 4.57589e-10, 283, 173, 104, 6
3, 5000.0, NC3-3.out,1, 1, 54, 6.16652e-10, 243, 166, 57, 20
