frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 38, 6.28033e-10, 218, 153, 58, 7
2, 2500.0, NC2-2.out,1, 1, 91, 4.95523e-10, 235, 158, 71, 6
3, 5000.0, NC3-3.out,1, 1, 59, 4.72103e-10, 234, 160, 54, 20
