frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 40, 3.01532e-10, 226, 173, 48, 5
2, 2500.0, NC2-2.out,1, 1, 95, 8.52184e-10, 253, 163, 84, 6
3, 5000.0, NC3-3.out,1, 1, 50, 5.48562e-10, 241, 164, 58, 19
