frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 43, 7.3273e-11, 222, 175, 42, 5
2, 2500.0, NC2-2.out,1, 1, 93, 6.05612e-10, 267, 186, 75, 6
3, 5000.0, NC3-3.out,1, 1, 56, 4.04973e-10, 258, 165, 75, 18
