frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 35, 7.18223e-10, 216, 179, 32, 5
2, 2500.0, NC2-2.out,1, 1, 96, 4.26167e-10, 267, 175, 86, 6
3, 5000.0, NC3-3.out,1, 1, 59, 1.91703e-10, 272, 181, 70, 21
