frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 32, 9.3035e-10, 191, 151, 35, 5
2, 2500.0, NC2-2.out,1, 1, 93, 7.95874e-10, 242, 163, 71, 8
3, 5000.0, NC3-3.out,1, 1, 56, 4.1613e-10, 245, 163, 64, 18
